date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:52:35	93874/93874	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2012:09:27%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&h=420&ixlib=php-3.3.1&s=bc50a602c38dbf30802649312c6a4474	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificatesbc95.png	(from https://www.classcentral.com/)
07:52:35	512885/512885	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2008:53:42%20GMT	https://www.classcentral.com/report/coursera-free-online-courses/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/coursera-free-online-courses/index.html	(from https://www.classcentral.com/)
07:52:35	6773/6773	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Oct%202022%2013:00:41%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d0859ee6dce9cd586fcc06d2e5d34ec	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsa0be.png	(from https://www.classcentral.com/)
07:52:35	29596/29596	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2012:09:28%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&h=420&ixlib=php-3.3.1&s=ac4c48d612e7961d7335e87451e52ac4	C:/My%20Web%20Sites/ClassCentralv5/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsc6f1.png	(from https://www.classcentral.com/)
07:52:35	412870/412870	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2008:49:50%20GMT	https://www.classcentral.com/report/free-certificates/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/free-certificates/index.html	(from https://www.classcentral.com/)
07:52:37	836493/836493	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2023:52:36%20GMT	https://www.classcentral.com/starting-this-month	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/starting-this-month.html	(from https://www.classcentral.com/)
07:52:37	188155/188155	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2008:51:54%20GMT	https://www.classcentral.com/report/free-google-certifications/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/free-google-certifications/index.html	(from https://www.classcentral.com/)
07:52:37	378/378	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Mar%202023%2023:52:37%20GMT	https://www.classcentral.com/new-online-courses	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/new-online-courses.45.delayed	(from https://www.classcentral.com/)
07:52:38	486/486	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Mar%202023%2023:52:38%20GMT	https://www.classcentral.com/most-popular-courses	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/most-popular-courses	(from https://www.classcentral.com/)
07:52:38	772140/772140	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2023:52:38%20GMT	https://www.classcentral.com/new-online-courses/february-2023	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/new-online-courses/february-2023.html	(from https://www.classcentral.com/)
07:52:38	140923/140923	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2010:05:29%20GMT	https://www.classcentral.com/report/most-popular-march-2023/	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/report/most-popular-march-2023/index.html	(from https://www.classcentral.com/)
07:52:40	841513/841513	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2023:52:39%20GMT	https://www.classcentral.com/subject/ai	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/ai.html	(from https://www.classcentral.com/)
07:52:41	826778/826778	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2023:52:40%20GMT	https://www.classcentral.com/subject/algorithms-and-data-structures	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/algorithms-and-data-structures.html	(from https://www.classcentral.com/)
07:52:42	772677/772677	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2023:52:41%20GMT	https://www.classcentral.com/subject/internet-of-things	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/internet-of-things.html	(from https://www.classcentral.com/)
07:52:42	7964/7964	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:42%20GMT	https://www.classcentral.com/subject/computer-networking	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/computer-networking	(from https://www.classcentral.com/)
07:52:42	7951/7951	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:42%20GMT	https://www.classcentral.com/subject/machine-learning	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/machine-learning	(from https://www.classcentral.com/)
07:52:43	790215/790215	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2023:52:42%20GMT	https://www.classcentral.com/subject/information-technology	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/information-technology.html	(from https://www.classcentral.com/)
07:52:43	8101/8101	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:43%20GMT	https://www.classcentral.com/subject/devops	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/devops.4e.delayed	(from https://www.classcentral.com/)
07:52:43	7917/7917	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:43%20GMT	https://www.classcentral.com/subject/deep-learning	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/deep-learning	(from https://www.classcentral.com/)
07:52:43	8127/8127	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:43%20GMT	https://www.classcentral.com/subject/cryptography	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/cryptography.50.delayed	(from https://www.classcentral.com/)
07:52:43	8189/8189	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:44%20GMT	https://www.classcentral.com/subject/quantum-computing	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/quantum-computing.51.delayed	(from https://www.classcentral.com/)
07:52:44	8067/8067	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:44%20GMT	https://www.classcentral.com/subject/hci	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/hci.52.delayed	(from https://www.classcentral.com/)
07:52:44	8178/8178	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:44%20GMT	https://www.classcentral.com/subject/distributed-systems	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/distributed-systems.53.delayed	(from https://www.classcentral.com/)
07:52:44	8117/8117	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:44%20GMT	https://www.classcentral.com/subject/blockchain	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/blockchain.54.delayed	(from https://www.classcentral.com/)
07:52:46	8146/8146	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Wed,%2001%20Mar%202023%2023:52:46%20GMT	https://www.classcentral.com/subject/computer-graphics	C:/My%20Web%20Sites/ClassCentralv5/www.classcentral.com/subject/computer-graphics.56.delayed	(from https://www.classcentral.com/)
